"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VACU106572","RES","CLS","Lot 1 S. Merrimac Rd","22701","Culpeper, VA","Detached","2,426","4","2","1","","11/14/06","$429,900.00","$426,756","428","428","Standard","","Conventional","2.80","2006","Yes","","","WHITE SHOP ESTATES",""
"VACU106568","RES","CLS","16-A Oakland Rd","22735","Culpeper, VA","Detached","2,726","4","2","1","","08/09/06","$463,900.00","$476,700","276","276","Standard","","Conventional","3.20","2005","Yes","","","NONE AVAILABLE","BEAUREGARD SUBDIVISION"
"VACU106564","RES","CLS","Forsythia Dr","22701","Culpeper, VA","End of Row/Townhouse","","3","2","1","","07/25/05","$289,000.00","$289,000","5","5","Standard","","Conventional","0.07","2005","Yes","","","HIGHPOINT",""
"VACU106562","RES","CLS","9166 Dunkard Church Rd","22737","Culpeper, VA","Detached","1,532","3","2","","","08/12/05","$349,500.00","$349,500","7","7","Standard","","Conventional","5.00","2005","Yes","","","DODSON-BROWN DIVISION",""
"VACU106560","RES","CLS","0 White Rock Dr","22736","Culpeper, VA","Detached","","4","2","1","","10/27/05","$379,900.00","$365,000","88","88","Standard","","Conventional","1.01","2005","Yes","","","NONE AVAILABLE",""
"VACU106544","RES","CLS","13028 Dreamers Path","22701","Culpeper, VA","Detached","2,016","3","2","1","","11/29/05","$448,000.00","$438,000","146","231","Standard","","Conventional","10.02","2005","Yes","","","METES & BOUNDS","MILLVIEW"
"VACU106520","RES","CLS","26 Stallion Ln","22701","Culpeper, VA","Detached","","3","2","1","","09/15/06","$429,900.00","$429,900","1","1","Standard","","Cash","0.82","2005","Yes","","","CEDARBROOKE",""
"VACU106510","RES","CLS","880 Ambleside Dr","22701","Culpeper, VA","Detached","","4","2","1","","08/26/05","$445,000.00","$445,000","84","84","Standard","","Conventional","0.25","2005","Yes","","Very Good","REDWOOD LAKES",""
"VACU106502","RES","CLS","15 Deer Ln","22713","Culpeper, VA","Detached","","3","2","0","","08/11/05","$269,900.00","$289,103","78","78","Standard","","Conventional","3.00","2005","Yes","","","SEVEN SPRINGS",""
"VACU106500","RES","CLS","Weslyn","22737","Culpeper, VA","Detached","","3","2","0","","01/13/06","$343,900.00","$364,320","43","43","Standard","","Conventional","5.00","2005","Yes","","","NONE AVAILABLE",""
"VACU106498","RES","CLS","13400 Rixeyville Woods Trl","22737","Culpeper, VA","Detached","2,200","4","2","1","","06/30/05","$474,999.00","$470,000","6","6","Standard","","Conventional","14.14","2005","Yes","","Very Good","RIXEYVILLE WOODS",""
"VACU106490","RES","CLS","219 Whitworth Dr","22701","Culpeper, VA","Detached","3,289","5","2","1","","07/29/05","$459,900.00","$465,000","42","117","Standard","","Conventional","0.19","2005","Yes","","Very Good","PELHAMS REACH",""
"VACU106480","RES","CLS","Triview","22712","Culpeper, VA","Detached","","4","3","","","06/06/05","$513,000.00","$513,000","0","0","Standard","","Other","3.00","2005","Yes","","","TRI-VIEW ESTATES",""
"VACU106472","RES","CLS","1021 Riverdale Cir","22701","Culpeper, VA","Detached","","4","2","1","","09/06/05","$439,999.00","$449,000","74","74","Standard","","Conventional","0.15","2004","Yes","","","RIVERDALE",""
"VACU106458","RES","CLS","2280 Forsythia Dr","22701","Culpeper, VA","Interior Row/Townhouse","","3","2","2","","07/14/05","$279,000.00","$269,999","13","13","Standard","","Conventional","0.00","2005","Yes","","Very Good","HIGHPOINT TOWNS",""
"VACU106456","RES","CLS","Jenkins Hill Lane","22701","Culpeper, VA","Detached","","3","3","1","","12/14/05","$429,000.00","$429,000","23","23","Standard","","Cash","1.99","2005","Yes","","","NONE AVAILABLE",""
"VACU106454","RES","CLS","12274 Old Stillhouse Rd","22713","Culpeper, VA","Detached","2,300","4","2","1","","03/16/06","$425,000.00","$410,000","237","237","Standard","","Conventional","1.38","2005","Yes","","","METES & BOUNDS",""
"VACU106436","RES","CLS","844 Gallows Ct","22701","Culpeper, VA","Interior Row/Townhouse","1,224","3","2","1","","06/24/05","$239,900.00","$242,500","11","11","Standard","","Conventional","0.00","2005","Yes","","","CATALPA HILLS",""
"VACU106420","RES","CLS","816 Gallows Court","22701","Culpeper, VA","Interior Row/Townhouse","1,224","3","2","1","","06/29/05","$244,900.00","$244,900","12","335","Standard","","Conventional","0.00","2005","Yes","","","CATALPA HILLS",""
"VACU106418","RES","CLS","3 White Pine Ln","22701","Culpeper, VA","Detached","3,812","4","4","1","","09/30/05","$545,000.00","$545,000","6","6","Standard","","Conventional","1.20","2005","Yes","","","ROLLING HILLS",""
"VACU106412","RES","CLS","Riverdale Cir","22701","Culpeper, VA","Detached","","4","2","1","","05/24/05","$387,940.00","$387,940","0","0","Standard","","Conventional","0.80","2005","Yes","","Very Good","RIVERDALE",""
"VACU106406","RES","CLS","2023 Chestnut Drive","22701","Culpeper, VA","Detached","","4","2","1","","08/19/05","$389,900.00","$396,600","53","125","Standard","","FHA","0.25","2005","Yes","","","HIGHPOINT",""
"VACU106394","RES","CLS","812 Fairview Village Ct #21","22701","Culpeper, VA","Interior Row/Townhouse","1,728","3","2","1","","02/14/06","$263,453.00","$259,806","91","91","Standard","","Conventional","","2005","Yes","","","FAIRVIEW VILLAGE",""
"VACU106392","RES","CLS","808 Fairview Village Ct #22","22701","Culpeper, VA","Interior Row/Townhouse","1,560","3","2","1","","01/09/06","$254,900.00","$256,813","35","35","Standard","","Conventional","","2005","Yes","","","FAIRVIEW VILLAGE",""
"VACU106390","RES","CLS","816 Fairview Village Ct #20","22701","Culpeper, VA","Interior Row/Townhouse","1,728","3","3","1","","04/20/06","$274,303.00","$274,303","192","192","Standard","","Conventional","","2005","Yes","","","FAIRVIEW VILLAGE",""
"VACU106388","RES","CLS","804 Fairview Village Ct #23","22701","Culpeper, VA","Interior Row/Townhouse","1,560","3","2","1","","02/03/06","$259,400.00","$259,400","119","119","Standard","","Conventional","","2005","Yes","","","FAIRVIEW VILLAGE",""
"VACU106380","RES","CLS","2119 Blue Spruce Drive","22701","Culpeper, VA","Detached","","3","2","1","","05/20/05","$347,391.00","$347,391","0","0","Standard","","Conventional","0.15","2005","Yes","","","HIGHPOINT",""
"VACU106368","RES","CLS","24322 Oak Forest Dr","22733","Culpeper, VA","Detached","2,127","4","2","1","","12/16/05","$353,800.00","$366,480","54","54","Standard","","Conventional","5.88","2005","Yes","","","FOREST VIEW","FOREST VIEW"
"VACU106364","RES","CLS","5106 Ridge View Court","22724","Culpeper, VA","Detached","3,433","4","4","0","","05/19/05","$594,130.00","$619,830","1","1","Standard","","Conventional","2.00","2005","Yes","","Very Good","FIELDS OF JEFFERSONTON",""
"VACU106340","RES","CLS","24323 Oak Forest Dr","22733","Culpeper, VA","Detached","2,127","4","2","1","","12/16/05","$363,800.00","$374,250","25","25","Standard","","Conventional","7.55","2005","Yes","","","FOREST VIEW","FOREST VIEW"
"VACU106320","RES","CLS","1846 Silver Star Lane","22701","Culpeper, VA","Twin/Semi-Detached","","3","3","1","","10/03/05","$338,990.00","$335,000","95","95","Standard","","Conventional","0.07","2005","Yes","","","MEADOWS OF CULPEPER",""
"VACU106296","RES","CLS","993 Riverdale Cir","22701","Culpeper, VA","Detached","","4","2","1","","05/12/05","$396,190.00","$369,190","1","3","Standard","","Owner Financing","0.00","2005","Yes","","","RIVERDALE",""
"VACU106288","RES","CLS","501 Barberry St","22701","Culpeper, VA","Detached","","4","3","0","","06/24/05","$329,000.00","$330,000","28","28","Standard","","Conventional","0.37","1967","Yes","","Very Good","BELLE PARC","BELLE PARC"
"VACU106276","RES","CLS","1025 Riverdale Cir","22701","Culpeper, VA","Detached","","5","3","1","","08/22/05","$470,000.00","$470,000","75","75","Standard","","Conventional","0.00","2004","Yes","","","RIVERDALE",""
"VACU106238","RES","CLS","Longview Lane","22701","Culpeper, VA","Other","","3","2","","","04/28/05","$233,220.00","$241,596","0","0","Standard","","Conventional","0.00","2005","Yes","","","LAKEVIEW TOWNS",""
"VACU106204","RES","CLS","Silver Star","22701","Culpeper, VA","Twin/Semi-Detached","","3","2","1","","07/06/05","$339,990.00","$340,000","58","58","Standard","","Conventional","0.10","2005","Yes","","","MEADOWS OF CULPEPER",""
"VACU106200","RES","CLS","Silver Star","22701","Culpeper, VA","Twin/Semi-Detached","","3","2","1","","07/29/05","$353,000.00","$348,000","59","59","Standard","","Conventional","0.10","2005","Yes","","","MEADOWS OF CULPEPER",""
"VACU106184","RES","CLS","927 Fawn Lane","22701","Culpeper, VA","Detached","","5","3","1","","06/27/05","$399,900.00","$399,900","36","36","Standard","","Other","0.00","2005","Yes","","","LAKEVIEW",""
"VACU106182","RES","CLS","1838 Silver Star","22701","Culpeper, VA","Twin/Semi-Detached","","3","2","1","","06/01/05","$332,000.00","$330,000","7","7","Standard","","Conventional","0.10","2005","Yes","","","MEADOWS OF CULPEPER",""
"VACU106176","RES","CLS","Silver Star","22701","Culpeper, VA","Twin/Semi-Detached","","3","2","1","","06/10/05","$310,000.00","$310,000","16","16","Standard","","Conventional","0.10","2005","Yes","","","MEADOWS OF CULPEPER",""
"VACU106180","RES","CLS","2253 Forsythia","22701","Culpeper, VA","Interior Row/Townhouse","","2","2","1","","06/08/05","$269,000.00","$269,000","8","8","Standard","","Conventional","0.04","2005","Yes","","","HIGHPOINT",""
"VACU106168","RES","CLS","536 Cromwell Ct","22701","Culpeper, VA","Interior Row/Townhouse","","2","1","1","","05/31/05","$140,000.00","$143,000","4","4","Standard","","Conventional","0.05","1989","Yes","","","SOUTHRIDGE TOWNHOUSES","SOUTHRIDGE TOWNHOUSES"
"VACU106164","RES","CLS","0 Crockett Ave","22701","Culpeper, VA","Detached","1,400","3","2","0","","11/16/05","$299,900.00","$308,000","64","64","Standard","","Conventional","1.18","2005","Yes","","","FOREST VIEW",""
"VACU106162","RES","CLS","11 Rotherwood Dr","22701","Culpeper, VA","Detached","","3","2","1","","09/29/05","$399,900.00","$399,900","25","25","Standard","","Conventional","1.69","2005","Yes","","","ROTHERWOOD II",""
"VACU106152","RES","CLS","65 Brandy Fizz Ct","22701","Culpeper, VA","Detached","","3","2","0","","07/06/05","$405,500.00","$454,112","8","8","Standard","","Conventional","0.85","2005","Yes","","","CEDARBROOKE I",""
"VACU106138","RES","CLS","20544 Sunset Hill Drive","22736","Culpeper, VA","Detached","","4","2","1","","09/30/05","$494,950.00","$494,950","106","106","Standard","","Conventional","5.80","2005","Yes","","Very Good","METES & BOUNDS",""
"VACU106122","RES","CLS","774 Holly Leaf Rd","22701","Culpeper, VA","Detached","","3","2","1","","03/29/05","$274,088.00","$274,088","1","1","Standard","","Conventional","0.38","2005","Yes","","","LAKEVIEW",""
"VACU106112","RES","CLS","0 Horseshoe Dr","22701","Culpeper, VA","Detached","1,144","3","2","0","","10/20/05","$289,900.00","$293,900","3","3","Standard","","Conventional","1.00","2005","Yes","","","NONE AVAILABLE",""
"VACU106110","RES","CLS","0 Horseshoe Dr","22701","Culpeper, VA","Detached","1,144","3","2","0","","10/17/05","$289,900.00","$289,900","84","84","Standard","","Conventional","0.93","2005","Yes","","","NONE AVAILABLE",""
"VACU106108","RES","CLS","0 Horseshoe Dr","22701","Culpeper, VA","Detached","1,144","3","2","0","","10/28/05","$293,900.00","$293,900","85","85","Standard","","Conventional","1.01","2005","Yes","","","NONE AVAILABLE",""
"VACU106102","RES","CLS","866 Virginia Ave","22701","Culpeper, VA","Detached","3,092","5","3","1","","07/08/05","$399,900.00","$405,000","49","49","Standard","","Conventional","0.12","2005","Yes","","Very Good","LAKEVIEW",""
"VACU106100","RES","CLS","1012 Riverdale Cir","22701","Culpeper, VA","Detached","1,850","3","2","1","","05/31/05","$363,990.00","$363,990","140","140","Standard","","Conventional","0.16","2005","Yes","","","RIVERDALE",""
"VACU106084","RES","CLS","471 Blossom Tree Dr","22701","Culpeper, VA","Detached","","4","3","1","","06/30/05","$419,000.00","$415,000","29","29","Standard","","Conventional","0.25","2005","Yes","","Very Good","PELHAMS REACH",""
"VACU106086","RES","CLS","265 Whitworth Dr","22701","Culpeper, VA","Detached","","4","3","1","","03/31/05","$373,000.00","$452,440","355","355","Standard","","Conventional","0.16","2005","Yes","","Very Good","PELHAMS REACH",""
"VACU106034","RES","CLS","859 Lakeland Ct","22701","Culpeper, VA","Detached","","4","2","1","","06/28/05","$389,990.00","$390,000","42","42","Standard","","Conventional","0.00","2005","Yes","","Very Good","REDWOOD LAKES",""
"VACU106030","RES","CLS","Dodson Woods Ln","22701","Culpeper, VA","Detached","1,720","3","2","0","","02/29/08","$575,000.00","$651,162","800","800","Standard","","Conventional","20.00","2007","Yes","","","NONE AVAILABLE",""
"VACU106028","RES","CLS","2236 Forsythia Dr","22701","Culpeper, VA","Interior Row/Townhouse","","3","2","2","","05/19/05","$264,990.00","$264,990","6","6","Standard","","Conventional","0.00","2005","Yes","","Very Good","HIGHPOINT",""
"VACU106016","RES","CLS","10224 White Shop Rd","22701","Culpeper, VA","Detached","2,726","4","2","1","","07/10/06","$565,000.00","$565,000","351","351","Standard","","Conventional","3.00","2005","Yes","","","NONE AVAILABLE",""
"VACU106008","RES","CLS","9-C Rixeyville Lakes Ct","22737","Culpeper, VA","Detached","2,600","3","2","1","","11/22/05","$429,000.00","$447,000","239","239","Standard","","Conventional","2.00","2005","Yes","","","RIXEYVILLE LAKES",""
"VACU106010","RES","CLS","9-A Rixeyville Lakes Ct","22737","Culpeper, VA","Detached","3,300","4","3","1","","02/13/06","$549,900.00","$492,144","29","29","Standard","","Conventional","2.00","2005","Yes","","","RIXEYVILLE LAKES",""
"VACU106006","RES","CLS","9-B Rixeyville Lakes Ct","22737","Culpeper, VA","Detached","2,845","4","3","1","","01/18/06","$479,900.00","$490,878","1","1","Standard","","Conventional","2.00","2005","Yes","","","RIXEYVILLE LAKES",""
"VACU106000","RES","CLS","Whitworth Drive","22701","Culpeper, VA","Other","","4","2","","","03/30/05","$383,990.00","$461,650","0","0","Standard","","Conventional","0.00","2005","Yes","","","PELHAMS REACH",""
"VACU105980","RES","CLS","1944 Silver Star","22701","Culpeper, VA","Twin/Semi-Detached","","3","2","1","","06/20/05","$305,000.00","$300,000","12","12","Standard","","Conventional","0.10","2005","Yes","","","MEADOWS OF CULPEPER",""
"VACU105952","RES","CLS","250 Whitworth Dr","22701","Culpeper, VA","Detached","","4","3","1","","09/15/05","$394,900.00","$390,000","136","136","Standard","","Conventional","0.16","2005","Yes","","Very Good","PELHAMS REACH",""
"VACU105942","RES","CLS","22292 Halls Road","22736","Culpeper, VA","Other","833","3","1","0","","06/13/05","$169,000.00","$159,500","45","45","Standard","","Conventional","0.00","1944","Yes","","","RICHARDSVILLE",""
"VACU105926","RES","CLS","741 Colonels Court","22710","Culpeper, VA","Interior Row/Townhouse","1,280","3","2","1","","05/26/05","$245,000.00","$236,000","11","11","Standard","","Conventional","0.05","2005","Yes","","Very Good","CATALPA HILLS",""
"VACU105886","RES","CLS","737 Colonels Court","22701","Culpeper, VA","Interior Row/Townhouse","","3","2","1","","04/21/05","$250,000.00","$241,000","4","4","Standard","","FHA","0.00","2005","Yes","","","CATALPA HILLS",""
"VACU105880","RES","CLS","Holly Leaf Rd","22701","Culpeper, VA","Detached","","3","2","1","","03/29/05","$296,823.00","$296,823","0","0","Standard","","Conventional","0.25","2005","Yes","","","LAKEVIEW",""
"VACU105878","RES","CLS","Peachtree Ct","22701","Culpeper, VA","Detached","","3","2","1","","03/29/05","$322,532.00","$322,532","0","0","Standard","","Conventional","0.25","2005","Yes","","","HIGHPOINT OF CULPEPER",""
"VACU105870","RES","CLS","Riverdale Cir","22701","Culpeper, VA","Detached","","3","2","1","","03/29/05","$381,240.00","$381,240","0","0","Standard","","Conventional","0.25","2005","Yes","","","RIVERDALE",""
"VACU105864","RES","CLS","2112 Peachtree Court","22701","Culpeper, VA","Detached","","3","2","1","","05/27/05","$365,000.00","$367,000","50","241","Standard","","Conventional","0.16","2004","Yes","","Very Good","HIGHPOINT",""
"VACU105858","RES","CLS","-Lot 32 Fox Chase Ln","22701","Culpeper, VA","Detached","2,456","4","2","1","","09/09/05","$425,000.00","$400,000","135","135","Standard","","Conventional","1.83","2005","Yes","","","FOX CHASE","FOX CHASE"
"VACU105856","RES","CLS","-Lot 29 Fox Chase Ln","22701","Culpeper, VA","Detached","2,456","4","2","1","","09/08/05","$425,000.00","$425,000","74","74","Standard","","Conventional","4.56","2005","Yes","","","FOX CHASE","FOX CHASE"
"VACU105836","RES","CLS","-21-6g Alum Springs Rd","22737","Culpeper, VA","Detached","3,028","4","3","1","","09/30/05","$549,000.00","$575,950","44","44","Standard","","Conventional","6.42","2005","Yes","","","METES & BOUNDS",""
"VACU105834","RES","CLS","860 Ambleside Dr","22701","Culpeper, VA","Detached","","4","2","1","","05/03/05","$375,000.00","$378,500","22","22","Standard","","Conventional","0.24","2004","Yes","","","REDWOOD LAKES",""
"VACU105830","RES","CLS","1016 Riverdale Cir","22701","Culpeper, VA","Detached","","4","2","1","","03/30/05","$393,320.00","$393,320","2","2","Standard","","Conventional","0.40","2004","Yes","","","RIVERDALE",""
